job_name,experiment,delta,property_file,search_option,search_type,profile,time,mem_per_cpu,cpus_per_task,threads,partition,submit_group,note
pw2_d2_pbfs,pw2,2,properties/d_2.txt,none,pbfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d2_pibfs,pw2,2,properties/d_2.txt,none,pibfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d2_premise_pbfs,pw2,2,properties/d_2.txt,premise,pbfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d2_premise_pibfs,pw2,2,properties/d_2.txt,premise,pibfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d3_pbfs,pw2,3,properties/d_3.txt,none,pbfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d3_pibfs,pw2,3,properties/d_3.txt,none,pibfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d3_premise_pbfs,pw2,3,properties/d_3.txt,premise,pbfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d3_premise_pibfs,pw2,3,properties/d_3.txt,premise,pibfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d4_pbfs,pw2,4,properties/d_4.txt,none,pbfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d4_pibfs,pw2,4,properties/d_4.txt,none,pibfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d4_premise_pbfs,pw2,4,properties/d_4.txt,premise,pbfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d4_premise_pibfs,pw2,4,properties/d_4.txt,premise,pibfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d5_pbfs,pw2,5,properties/d_5.txt,none,pbfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d5_pibfs,pw2,5,properties/d_5.txt,none,pibfs,TIMEOUT,1-00:00:00,5G,32,32,,expanded-resource,Old run hit the wall-time limit. This keeps the paper-matching one-day wall time.
pw2_d5_premise_pbfs,pw2,5,properties/d_5.txt,premise,pbfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw2_d5_premise_pibfs,pw2,5,properties/d_5.txt,premise,pibfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
